School Code,School Name,Address,City,State Code,Zip Code,Province,Country,Postal Code
007900,BUTTE ACADEMY OF BEAUTY CULTURE,303 WEST PARK STREET,BUTTE,MT,59701,,,
014877,PENNCO TECH,P O BOX 1427- ERIAL RD,BLACKWOOD,NJ,8012,,,
014968,FORTIS INSTITUTE,201 WILLOWBROOK BOULEVARD,WAYNE,NJ,7470,,,
014941,NAT'L CONSERVATORY DRAMATIC ARTS,1556 WISCONSIN AVENUE NORTHWEST,WASHINGTON,DC,20007,,,
015133,LA JAMES INTERNATIONAL COLLEGE - DAV,5205 N. BRADY STREET,DAVENPORT,IA,52806,,,
014951,OLD TOWN BARBER COLLEGE,1207 E DOUGLAS,WICHITA,KS,67211,,,
014658,WISCONSIN LUTHERAN COLLEGE,8800 WEST BLUEMOUND ROAD,MILWAUKEE,WI,53226,,,
014992,ROB ROY ACADEMY,1 SCHOOL STREET,TAUNTON,MA,2780,,,
014945,SALON PROFESSIONAL ACADEMY (THE),937 EAST NORTH STREET,RAPID CITY,SD,57701,,,
021383,PALO ALTO UNIVERSITY,1791 ARASTRADERO ROAD,PALO ALTO,CA,94304,,,
014268,HAWAII INSTITUTE OF HAIR DESIGN,1128 NUUANU AVENUE,HONOLULU,HI,96817,,,
001708,LINCOLN CHRISTIAN UNIVERSITY,100 CAMPUS VIEW DRIVE,LINCOLN,IL,62656,,,
002270,HENRY FORD COLLEGE,5101 EVERGREEN RD,DEARBORN,MI,48128,,,
002741,AMERICAN JEWISH UNIVERSITY,15600 MULHOLLAND DRIVE,BEL AIR,CA,90077,,,
002920,DUKE UNIVERSITY,2127 CAMPUS DRIVE,DURHAM,NC,27708,,,
003917,UNIVERSITY OF WISCONSIN - EAU CLAIRE,PARK & GARFIELD AVENUE,EAU CLAIRE,WI,54702,,,
005600,ATHENS TECHNICAL COLLEGE,800 US HIGHWAY 29 NORTH,ATHENS,GA,30601,,,
014104,READING HOSPITAL SCHOOL OF HEALTH SCIENC,6TH AVENUE & SPRUCE STREET,WEST READING,PA,19611,,,
009635,FLORIDA INTERNATIONAL UNIVERSITY,MODESTO A. MAIDIQUE CAMPUS,MIAMI,FL,33199,,,
014108,RIVERSIDE COLLEGE OF HEALTH CAREERS,"606 DENBIGH BOULEVARD, SUITE 500",NEWPORT NEWS,VA,23608,,,
015016,ST. JOSEPH SCHOOL OF NURSING,5 WOODWARD AVENUE,N/ASHUA,NH,3060,,,
001908,CENTRAL CHRISTIAN COLLEGE OF KANSAS,1200 S MAIN ST,MCPHERSON,KS,67460,,,
003577,HUSTON - TILLOTSON UNIVERSITY,900 CHICON STREET,AUSTIN,TX,78702,,,
003690,MARLBORO COLLEGE,2582 SOUTH ROAD,MARLBORO,VT,5344,,,
004026,TENNESSEE COLLEGE OF APPLIED TECHNOLOGY,910 MILLER AVENUE,CROSSVILLE,TN,38555,,,
006583,WESTERN PENN HOSP-SCH OF NURSING,4900 FRIENDSHIP AVE,PITTSBURGH,PA,15224,,,
014107,COVENANT SCH OF NSG & ALLIED HEALTH,1919 FRANKFORD AVENUE,LUBBOCK,TX,79407,,,
G06679,QUEEN'S UNIVERSITY AT KINGSTON,99 UNIVERSITY AVE,KINGSTON,CN,0,ONTARIO,CAN/ADA,K7L 3N6
009226,FRANCIS MARION UNIVERSITY,4822 EAST PALMETTO STREET,FLORENCE,SC,29506,,,
010148,COLORADO TECHNICAL UNIVERSITY,4435 NORTH CHESTNUT STREET,COLORADO SPRINGS,CO,80907,,,
015029,CANTON CITY SCHOOLS ADULT CAREER & TECH,2800 13TH STREET S.W.,CANTON,OH,44710,,,
015022,SAVANNAH COLLEGE OF ART & DESIGN,342 BULL ST,SAVANN/AH,GA,31402,,,
001598,UNIVERSITY OF GEORGIA,220 HOLMES/HUNTER ACADEMIC BLDG,ATHENS,GA,30602,,,
002658,NEW MEXICO STATE UNIVERSITY - ALAMOGORDO,2400 NORTH SCENIC DRIVE,ALAMOGORDO,NM,88311,,,
008815,UNIVERSITY OF PITTSBURGH,4200 FIFTH AVENUE,PITTSBURGH,PA,15260,,,
003919,UNIVERSITY OF WISCONSIN-LA CROSSE,1725 STATE STREET,LA CROSSE,WI,54601,,,
G06683,UNIVERSITY OF GUELPH,UNIVERSITY CENTRE,GUELPH,CN,0,ONTARIO,CAN/ADA,N1G 2W1
014971,LEX LA RAY TECHNICAL CENTER,2323 HIGH SCHOOL DRIVE,LEXINGTON,MO,64067,,,
015023,SALISH KOOTENAI COLLEGE,58138 US HIGHWAY 93,PABLO,MT,59855,,,
014991,STERLING COLLEGE,P.O. BOX 72,CRAFTSBURY COMMON,VT,5827,,,
014303,SINTE GLESKA UNIVERSITY,ANTELOPE DRIVE,MISSION,SD,57555,,,
014997,BEAUTY INSTITUTE (THE),153 LEHIGH VALLEY MALL,WHITEHALL,PA,18052,,,
014986,VET TECH INSTITUTE OF HOUSTON,4669 SOUTHWEST FREEWAY,HOUSTON,TX,77027,,,
014996,CAYUGA ONONDAGA BOCES,1879 WEST GENESEE STREET ROAD,AUBURN,NY,13021,,,
014152,INSTITUTE OF AMERICAN INDIAN ARTS,83 AVAN NU PO ROAD,SANTA FE,NM,87508,,,
001030,BISHOP STATE COMMUNITY COLLEGE,351 NO BROAD STREET,MOBILE,AL,36603,,,
001599,VALDOSTA STATE UNIVERSITY,1500 N PATTERSON ST,VALDOSTA,GA,31698,,,
002005,NICHOLLS STATE UNIVERSITY,906 EAST FIRST STREET,THIBODAUX,LA,70310,,,
002560,WESTERN NEBRASKA COMMUNITY COLLEGE,1601 EAST 27TH STREET,SCOTTSBLUFF,NE,69361,,,
003920,UNIVERSITY OF WISCONSIN-OSHKOSH,800 ALGOMA BLVD,OSHKOSH,WI,54901,,,
004661,HAMPSHIRE COLLEGE,893 WEST STREET,AMHERST,MA,1002,,,
